Instance_Size,half K=2,all K=2,path in G_o_prime
32,0.0441734208,0.03588387929999999,0.035585275300000004
64,0.1402878834,0.12669229610000002,0.1422984251
128,0.8311740084,0.8008306793,1.0146371999
256,8.8251661459,8.2834123042,10.4521287874
