Instance_Sizes,Times,Losses,Means
32,0.0064535541,0.0,0.5255557209090816
64,0.011570187499999999,0.0,0.49406905111727745
128,0.0813100877,0.0,0.48656855008350225
256,0.2064757877,0.0,0.4877896561084394
512,1.1162224,0.0,0.5027796507081554
1024,6.569773037300001,0.0,0.5014614118174537
2048,38.8813395793,0.0,0.49635819942553355
