Instance_Size,base,sequence,random
32,0.007475192,0.008346795999999998,0.0086284333
64,0.0138283749,0.0125494084,0.016168458599999998
128,0.10324185830000002,0.08335735819999998,0.11984939180000001
256,0.3166707959,0.36601196250000007,0.4966912624
512,1.0833651917999998,1.1118062833000002,1.2909808834
1024,6.9094567043,7.560540600200001,6.7076115125
